"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","EPRC_V1","Version 1 (1985-2019)","2009","2009","IDX","Index","0","Units",,,0.587301611900329,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2019)","2010","2010","IDX","Index","0","Units",,,0.587301611900329,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2019)","2011","2011","IDX","Index","0","Units",,,0.587301611900329,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2019)","2012","2012","IDX","Index","0","Units",,,0.587301611900329,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2019)","2013","2013","IDX","Index","0","Units",,,0.587301611900329,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2019)","2014","2014","IDX","Index","0","Units",,,0.587301611900329,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2019)","2015","2015","IDX","Index","0","Units",,,0.587301611900329,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2019)","2016","2016","IDX","Index","0","Units",,,0.587301611900329,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2019)","2017","2017","IDX","Index","0","Units",,,0.587301611900329,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2019)","2018","2018","IDX","Index","0","Units",,,0.587301611900329,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2019)","2019","2019","IDX","Index","0","Units",,,0.587301611900329,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","1993","1993","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","1994","1994","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","1995","1995","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","1996","1996","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","1997","1997","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","1998","1998","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","1999","1999","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2000","2000","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2001","2001","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2002","2002","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2003","2003","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2004","2004","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2005","2005","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2006","2006","IDX","Index","0","Units",,,3.63888883590698,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2007","2007","IDX","Index","0","Units",,,3.38492059707641,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2008","2008","IDX","Index","0","Units",,,3.38492059707641,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2009","2009","IDX","Index","0","Units",,,3.38492059707641,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2010","2010","IDX","Index","0","Units",,,3.38492059707641,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2011","2011","IDX","Index","0","Units",,,3.38492059707641,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2012","2012","IDX","Index","0","Units",,,3.25793647766113,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2013","2013","IDX","Index","0","Units",,,3.25793647766113,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2014","2014","IDX","Index","0","Units",,,3.25793647766113,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2015","2015","IDX","Index","0","Units",,,3.25793647766113,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2016","2016","IDX","Index","0","Units",,,3.25793647766113,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2017","2017","IDX","Index","0","Units",,,3.25793647766113,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2018","2018","IDX","Index","0","Units",,,3.25793647766113,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2019)","2019","2019","IDX","Index","0","Units",,,3.25793647766113,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","1990","1990","IDX","Index","0","Units",,,1.51587307453155,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","1991","1991","IDX","Index","0","Units",,,1.51587307453155,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","1992","1992","IDX","Index","0","Units",,,1.51587307453155,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","1993","1993","IDX","Index","0","Units",,,1.51587307453155,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","1994","1994","IDX","Index","0","Units",,,1.51587307453155,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","1995","1995","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","1996","1996","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","1997","1997","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","1998","1998","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","1999","1999","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2000","2000","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2001","2001","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2002","2002","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2003","2003","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2004","2004","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2005","2005","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2006","2006","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2007","2007","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2008","2008","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2009","2009","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2010","2010","IDX","Index","0","Units",,,1.46825397014617,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2011","2011","IDX","Index","0","Units",,,1.53174602985382,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2012","2012","IDX","Index","0","Units",,,1.53174602985382,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2013","2013","IDX","Index","0","Units",,,1.53174602985382,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2014","2014","IDX","Index","0","Units",,,1.53174602985382,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2015","2015","IDX","Index","0","Units",,,1.53174602985382,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2016","2016","IDX","Index","0","Units",,,1.53174602985382,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2017","2017","IDX","Index","0","Units",,,1.53174602985382,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2018","2018","IDX","Index","0","Units",,,1.53174602985382,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2019)","2019","2019","IDX","Index","0","Units",,,1.53174602985382,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","1990","1990","IDX","Index","0","Units",,,2.70238089561462,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","1991","1991","IDX","Index","0","Units",,,2.70238089561462,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","1992","1992","IDX","Index","0","Units",,,2.36904764175415,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","1993","1993","IDX","Index","0","Units",,,2.36904764175415,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","1994","1994","IDX","Index","0","Units",,,2.36904764175415,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","1995","1995","IDX","Index","0","Units",,,2.36904764175415,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","1996","1996","IDX","Index","0","Units",,,2.36904764175415,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","1997","1997","IDX","Index","0","Units",,,2.2261905670166,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","1998","1998","IDX","Index","0","Units",,,2.2261905670166,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","1999","1999","IDX","Index","0","Units",,,2.2261905670166,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2000","2000","IDX","Index","0","Units",,,2.2261905670166,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2001","2001","IDX","Index","0","Units",,,2.2261905670166,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2002","2002","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2003","2003","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2004","2004","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2005","2005","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2006","2006","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2007","2007","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2008","2008","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2009","2009","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2010","2010","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2011","2011","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2012","2012","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2013","2013","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2014","2014","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2015","2015","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2016","2016","IDX","Index","0","Units",,,2.08333325386047,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2017","2017","IDX","Index","0","Units",,,2,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2018","2018","IDX","Index","0","Units",,,2,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2019)","2019","2019","IDX","Index","0","Units",,,2,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","1990","1990","IDX","Index","0","Units",,,2.51587295532226,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","1991","1991","IDX","Index","0","Units",,,2.51587295532226,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","1992","1992","IDX","Index","0","Units",,,2.51587295532226,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","1993","1993","IDX","Index","0","Units",,,2.51587295532226,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","1994","1994","IDX","Index","0","Units",,,2.51587295532226,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","1995","1995","IDX","Index","0","Units",,,2.51587295532226,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","1996","1996","IDX","Index","0","Units",,,2.51587295532226,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","1997","1997","IDX","Index","0","Units",,,2.51587295532226,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","1998","1998","IDX","Index","0","Units",,,2.51587295532226,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","1999","1999","IDX","Index","0","Units",,,2.5793650150299,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2000","2000","IDX","Index","0","Units",,,2.5793650150299,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2001","2001","IDX","Index","0","Units",,,2.5793650150299,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2002","2002","IDX","Index","0","Units",,,2.5793650150299,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2003","2003","IDX","Index","0","Units",,,2.70634913444519,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2004","2004","IDX","Index","0","Units",,,2.70634913444519,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2005","2005","IDX","Index","0","Units",,,2.70634913444519,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2006","2006","IDX","Index","0","Units",,,2.70634913444519,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2007","2007","IDX","Index","0","Units",,,2.70634913444519,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2008","2008","IDX","Index","0","Units",,,2.5793650150299,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2009","2009","IDX","Index","0","Units",,,2.49603176116943,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2010","2010","IDX","Index","0","Units",,,2.49603176116943,,
"FRA","France","EPRC_V1","Version 1 (1985-2019)","2011","2011","IDX","Index","0","Units",,,2.49603176116943,,
